Rank,Plaintext,Distance_in,Clock_Hour,Latitude,Longitude,Nearest_Scene,Dist_mi,Template
1,IN THREE AND THREEEIGHTHS RADIANS TEN,3.375,10,38.109952,-122.185349,blue_rock_springs,1.15,A
2,IN THREE AND THREEFOURTHS RADIANS TEN,3.75,10,38.135282,-122.215560,blue_rock_springs,1.48,A
3,IN THREE AND SEVENEIGHTHS RADIANS TEN,3.875,10,38.143724,-122.225636,blue_rock_springs,2.24,A
4,AT FOUR AND AT H I R D INCHES RADIAN EIGHT,4.333333333333333,8,37.790300,-122.409282,presidio_heights,2.61,G
5,AT FIVE AND THREESIXTEENTHS RAD EIGHT,5.1875,8,37.772053,-122.506689,presidio_heights,2.94,A
6,AT FOUR AND A QUARTER INCH RADIAN EIGHT,4.25,8,37.792075,-122.399776,presidio_heights,3.14,G
7,AT FIVE AND THREEEIGHTHS RADIAN EIGHT,5.375,8,37.768037,-122.528065,presidio_heights,4.13,A
8,IN FOUR AND A FOURTH INCHES RADIANS TEN,4.25,10,38.169045,-122.255876,blue_rock_springs,4.61,G
9,IN TWO AND ONE QUARTER INCH RADIANS TEN,2.25,10,38.033913,-122.094839,lake_herman_road,4.99,G
10,AT FIVE AND FIVEEIGHTHS INCH RAD EIGHT,5.625,8,37.762677,-122.556562,presidio_heights,5.72,G
11,INCHES TWO AND A SIXTEENTH RADIANS TEN,2.0625,10,38.021233,-122.079772,lake_herman_road,6.18,K
12,AT FIVE AND THREEFOURTHS RADIAN EIGHT,5.75,8,37.759994,-122.570809,presidio_heights,6.52,A
13,AT THREE AND FIVEEIGHTHS RADIAN EIGHT,3.625,8,37.805370,-122.328469,presidio_heights,7.12,A
14,AT THREE AND NINESIXTEENTHS RAD EIGHT,3.5625,8,37.806697,-122.321337,presidio_heights,7.52,A
15,AT THREE AND FIVESIXTEENTHS RAD EIGHT,3.3125,8,37.812001,-122.292806,presidio_heights,9.11,A
16,AT SIX AND ONE QUARTER INCHES RAD EIGHT,6.25,8,37.749245,-122.627787,presidio_heights,9.71,G
17,AT INCH SIX AND THREEEIGHTHS RAD EIGHT,6.375,8,37.746553,-122.642029,presidio_heights,10.51,K
18,IN ONE AND ONE QUARTER INCH RADIANS TEN,1.25,10,37.966265,-122.014543,lake_herman_road,11.35,G
19,INCHES ONE AND A SIXTEENTH RADIANS TEN,1.0625,10,37.953575,-121.999505,lake_herman_road,12.54,K
20,AT INCH TWO AND THREEFOURTHS RAD EIGHT,2.75,8,37.823910,-122.228595,presidio_heights,12.71,K
21,AT INCH SIX AND THREEFOURTHS RAD EIGHT,6.75,8,37.738469,-122.684749,presidio_heights,12.91,K
22,IN FIVE AND THREEQUARTERS RADIANS TEN,5.75,10,38.270249,-122.377045,blue_rock_springs,14.19,A
23,AT INCH TWO AND THREEEIGHTHS RAD EIGHT,2.375,8,37.831829,-122.185777,presidio_heights,15.11,K
24,AT TWO AND ONE QUARTER INCHES RAD EIGHT,2.25,8,37.834466,-122.171502,presidio_heights,15.91,G
25,INCHES SIX AND A SIXTEENTH RADIANS TEN,6.0625,10,38.291317,-122.402331,blue_rock_springs,16.19,K
26,AT SEVEN AND FIVESIXTEENTHS RAD EIGHT,7.3125,8,37.726313,-122.748810,presidio_heights,16.51,A
27,AT INCH ONE AND THREEEIGHTHS RAD EIGHT,1.375,8,37.852873,-122.071550,lake_herman_road,17.18,K
28,AT ONE AND ONE QUARTER INCHES RAD EIGHT,1.25,8,37.855496,-122.057267,lake_herman_road,17.20,G
29,AT INCH ONE AND THREEFOURTHS RAD EIGHT,1.75,8,37.844995,-122.114393,lake_herman_road,17.34,K
30,IN SIX AND ONE QUARTER INCH RADIANS TEN,6.25,10,38.303956,-122.417510,blue_rock_springs,17.39,G
31,IN ZERO AND ONE FOURTH INCH RADIANS TEN,0.25,10,37.898562,-121.934396,lake_herman_road,17.73,G
32,AT SEVEN AND NINESIXTEENTHS RAD EIGHT,7.5625,8,37.720899,-122.777276,presidio_heights,18.11,A
33,AT SEVEN AND FIVEEIGHTHS RADIAN EIGHT,7.625,8,37.719544,-122.784391,presidio_heights,18.51,A
34,AT ZERO AND ONE FOURTH INCHES RAD EIGHT,0.25,8,37.876415,-121.942967,lake_herman_road,18.65,G
35,IN SEVEN AND THREEEIGHTHS RADIANS TEN,7.375,10,38.379746,-122.508693,lake_berryessa,19.64,A
36,IN SEVEN AND THREEFOURTHS RADIANS TEN,7.75,10,38.404993,-122.539130,lake_berryessa,19.91,A
37,IN SEVEN AND SEVENEIGHTHS RADIANS TEN,7.875,10,38.413407,-122.549281,lake_berryessa,20.07,A
38,THREE RADIAN ZERO AND ONE QUARTER INCH,0.25,3,37.874854,-121.886327,lake_herman_road,20.69,I
39,AT EIGHT AND ONE HALF INCH RADIAN EIGHT,8.5,8,37.700536,-122.883983,presidio_heights,24.11,G
40,IN NINE AND THREEQUARTERS RADIANS TEN,9.75,10,38.539514,-122.701821,lake_berryessa,25.46,A
41,INCHES TEN AND A SIXTEENTH RADIANS TEN,10.0625,10,38.560512,-122.727296,lake_berryessa,26.78,K
42,IN TEN AND ONE QUARTER INCH RADIANS TEN,10.25,10,38.573109,-122.742588,lake_berryessa,27.61,G
43,INCH TEN AND THREEEIGHTHS RADIANS TEN,10.375,10,38.581505,-122.752786,lake_berryessa,28.18,K
44,AT NINE AND THREESIXTEENTHS RAD EIGHT,9.1875,8,37.685543,-122.962197,presidio_heights,28.50,A
45,AT NINE AND THREEEIGHTHS RADIAN EIGHT,9.375,8,37.681445,-122.983523,presidio_heights,29.70,A
46,INCH TEN AND THREEFOURTHS RADIANS TEN,10.75,10,38.606689,-122.783394,lake_berryessa,29.95,K
47,INCH TEN AND SEVENEIGHTHS RADIANS TEN,10.875,10,38.615082,-122.793601,lake_berryessa,30.55,K
48,SEVEN AND ONE QUARTER INCH RADS TWELVE,7.25,12,38.523567,-121.663424,lake_berryessa,30.83,G
49,ON THREE AND ONE EIGHTH INCH TWO RADIAN,3.125,2,37.946202,-121.556728,lake_herman_road,33.58,H
50,IN ELEVEN AND FIVEEIGHTHS RADIANS TEN,11.625,10,38.665421,-122.854896,lake_berryessa,34.37,A
51,ON THREE AND THREEQUARTERS TWO RADIAN,3.75,2,37.958986,-121.485122,lake_herman_road,37.08,C
52,ON FOUR AND A QUARTER INCHES TWO RADIAN,4.25,2,37.969183,-121.427819,lake_herman_road,39.94,H
53,ON SEVEN AND ONE EIGHTH INCH TWO RADIAN,7.125,2,38.027273,-121.098021,lake_herman_road,57.10,H
54,ON SEVEN AND THREEQUARTERS TWO RADIAN,7.75,2,38.039779,-121.026257,lake_herman_road,60.93,C
